batch_id,production_date,raw_material_supplier,pigment_type,pigment_quantity,mixing_time,mixing_speed,product_quality_score
BATCH_00161,2022-02-17,SupplierB,type_b,25.35,11.03,Low,80.79
BATCH_00162,2023-05-18,SupplierB,type_b,87.09,33.51,Medium,85.36
BATCH_00163,2023-02-11,SupplierB,type_a,77.51,34.78,Medium,67.07
BATCH_00164,2023-07-28,SupplierA,type_a,61.91,24.9,High,72.24
BATCH_00165,2023-12-29,SupplierD,type_c,93.02,33.94,Low,72.12
BATCH_00166,2024-03-15,SupplierC,type_a,150.0,34.51,Medium,102.72
BATCH_00167,2022-04-09,SupplierB,type_c,46.56,26.74,Low,80.69
BATCH_00168,2023-11-15,SupplierD,type_x,57.45,33.9,Low,70.69
BATCH_00169,2024-05-21,SupplierB,type_a,77.22,29.31,High,79.13
BATCH_00170,2023-12-27,SupplierD,type_c,32.39,26.91,Medium,66.97
BATCH_00171,2024-09-13,SupplierA,type_a,150.0,29.02,High,106.41
BATCH_00172,2023-07-01,SupplierA,type_c,58.12,30.84,Medium,82.6
BATCH_00173,2024-08-18,SupplierA,type_a,38.26,17.32,Medium,79.55
BATCH_00174,2024-01-09,SupplierA,type_c,4.8,26.04,High,84.0
BATCH_00175,2023-09-05,SupplierA,type_b,25.14,31.96,Medium,68.78
BATCH_00176,2024-07-31,SupplierB,type_b,43.77,32.8,Low,80.49
BATCH_00177,2023-04-07,SupplierB,type_b,50.96,30.73,Low,59.41
BATCH_00178,2023-10-05,SupplierB,type_a,51.56,21.91,Low,71.68
BATCH_00179,2024-02-08,SupplierA,type_c,90.1,27.08,Medium,84.33
BATCH_00180,2022-01-05,SupplierB,type_b,45.85,25.78,Ultra,63.58
BATCH_00181,2022-08-06,SupplierB,type_c,150.0,38.66,High,99.64
BATCH_00182,2023-05-18,SupplierA,type_a,17.48,30.59,Ultra,64.17
BATCH_00183,2024-02-06,SupplierB,type_c,49.38,28.6,Medium,69.77
BATCH_00184,2023-02-02,SupplierA,type_a,-10.0,27.21,Medium,83.02
BATCH_00185,2024-05-20,SupplierA,type_b,22.49,29.38,Low,71.87
BATCH_00186,2024-03-05,SupplierC,type_a,31.32,33.76,Medium,89.41
BATCH_00187,2023-01-28,SupplierA,type_c,59.78,20.85,High,92.86
BATCH_00188,2022-07-26,SupplierB,type_a,39.07,31.15,Medium,65.33
BATCH_00189,2022-01-15,SupplierB,type_x,47.95,27.48,Medium,74.76
BATCH_00190,2024-05-07,SupplierB,type_x,60.82,32.15,Low,73.9
BATCH_00191,2023-07-08,SupplierA,type_a,90.74,12.67,Medium,85.6
BATCH_00192,2024-06-10,SupplierA,type_c,200.0,26.52,Medium,110.24
BATCH_00193,2023-04-06,SupplierA,type_a,85.38,23.15,Medium,81.2
BATCH_00194,2023-11-22,SupplierB,type_b,200.0,28.48,High,123.6
BATCH_00195,2023-07-29,SupplierA,type_c,52.97,36.44,Low,79.22
BATCH_00196,2024-05-13,SupplierA,type_c,43.32,34.18,Medium,75.53
BATCH_00197,2024-01-13,SupplierD,type_c,-10.0,28.11,Low,56.4
BATCH_00198,2022-08-29,SupplierB,type_a,63.16,26.83,Ultra,87.56
BATCH_00199,2023-07-18,SupplierA,type_b,45.71,27.2,Medium,71.14
BATCH_00200,2022-04-06,SupplierB,type_a,9.5,18.53,High,76.77
BATCH_00201,2024-06-18,SupplierB,type_c,18.23,33.92,Low,46.99
BATCH_00202,2024-01-04,SupplierA,type_b,64.44,34.84,Medium,85.9
BATCH_00203,2023-04-30,SupplierA,type_c,17.26,28.06,High,70.06
BATCH_00204,2023-02-11,SupplierB,type_a,64.98,27.5,Low,72.75
BATCH_00205,2022-08-19,SupplierB,type_b,52.5,26.51,Low,72.2
BATCH_00206,2024-01-19,SupplierB,type_b,46.59,27.75,Medium,78.63
BATCH_00207,2023-10-17,SupplierA,type_a,48.37,26.32,Low,74.0
BATCH_00208,2022-06-20,SupplierA,type_b,60.3,29.22,Low,60.59
BATCH_00209,2023-06-25,SupplierA,type_c,26.45,33.93,Medium,74.22
BATCH_00210,2022-02-05,SupplierA,type_x,50.85,33.42,Low,70.68
BATCH_00211,2023-06-09,SupplierA,type_b,27.21,25.81,Medium,79.42
BATCH_00212,2022-06-09,SupplierA,type_b,53.27,30.76,High,57.59
BATCH_00213,2024-04-18,SupplierB,type_a,62.93,33.23,Medium,103.33
BATCH_00214,2023-11-30,SupplierD,type_x,53.32,25.3,Low,67.13
BATCH_00215,2022-08-31,SupplierB,type_a,62.17,30.71,Medium,92.95
BATCH_00216,2022-03-27,SupplierB,type_x,36.0,36.07,Medium,70.11
BATCH_00217,2024-03-06,SupplierA,type_b,150.0,28.78,Medium,96.81
BATCH_00218,2023-08-01,SupplierD,type_b,45.24,19.91,Medium,76.22
BATCH_00219,2023-11-13,SupplierA,type_x,43.93,17.41,Ultra,83.47
BATCH_00220,2023-07-11,SupplierD,type_a,33.99,31.55,High,54.67
BATCH_00221,2023-07-28,SupplierD,type_b,41.36,30.53,Low,79.42
BATCH_00222,2024-08-10,SupplierB,type_b,27.75,30.94,Medium,68.2
BATCH_00223,2023-10-08,SupplierD,type_a,16.12,32.45,Medium,70.61
BATCH_00224,2024-03-06,SupplierB,type_b,35.99,22.6,Medium,70.91
BATCH_00225,2022-01-28,SupplierA,type_c,62.52,25.97,Medium,73.04
BATCH_00226,2023-09-12,SupplierA,type_c,54.68,32.12,Medium,65.27
BATCH_00227,2023-07-10,SupplierB,type_a,24.87,33.68,Medium,74.19
BATCH_00228,2022-12-06,SupplierA,type_x,41.88,28.72,Medium,79.24
BATCH_00229,2024-03-08,SupplierB,type_a,63.85,22.84,Medium,85.78
BATCH_00230,2024-08-15,SupplierD,type_a,41.03,31.7,Low,76.59
BATCH_00231,2022-11-27,SupplierA,type_a,21.64,30.26,Medium,75.94
BATCH_00232,2023-10-02,SupplierB,type_a,95.15,37.92,Medium,102.61
BATCH_00233,2023-05-21,SupplierC,type_a,46.66,20.08,Medium,55.23
BATCH_00234,2022-12-14,SupplierC,type_c,26.73,32.86,Medium,44.6
BATCH_00235,2023-04-18,SupplierD,type_b,53.43,26.91,High,93.21
BATCH_00236,2022-08-19,SupplierB,type_a,48.29,30.93,Medium,61.08
BATCH_00237,2022-07-09,SupplierD,type_a,19.17,30.75,Medium,54.89
BATCH_00238,2022-08-13,SupplierB,type_c,51.87,24.27,High,72.68
BATCH_00239,2023-01-20,SupplierA,type_x,69.67,29.03,Medium,64.36
BATCH_00240,2023-01-12,SupplierB,type_a,45.34,25.7,Low,69.79
BATCH_00241,2022-10-10,SupplierB,type_a,8.8,22.52,Low,53.16
BATCH_00242,2024-08-15,SupplierA,type_a,56.84,21.88,Low,73.59
BATCH_00243,2023-09-25,SupplierB,type_a,62.06,29.98,Low,81.42
BATCH_00244,2023-09-20,SupplierB,type_a,38.27,37.97,High,68.05
BATCH_00245,2024-08-30,SupplierA,type_b,38.42,30.21,Medium,67.59
BATCH_00246,2024-01-15,SupplierB,type_a,95.16,38.92,Low,91.13
BATCH_00247,2022-09-16,SupplierB,type_b,36.84,37.24,High,81.49
BATCH_00248,2022-12-25,SupplierB,type_a,27.56,32.58,Medium,84.3
BATCH_00249,2023-12-11,SupplierA,type_x,50.5,37.87,Medium,72.97
BATCH_00250,2023-04-01,SupplierA,type_x,61.5,37.31,Low,96.7
BATCH_00251,2023-02-15,SupplierA,type_b,60.65,35.89,Low,86.96
BATCH_00252,2023-10-11,SupplierC,type_b,0.64,20.58,Medium,47.87
BATCH_00253,2022-11-14,SupplierA,type_b,36.79,28.82,High,58.42
BATCH_00254,2023-11-08,SupplierB,type_b,73.06,26.53,Low,76.14
BATCH_00255,2022-08-13,SupplierA,type_c,56.53,35.86,Medium,91.41
BATCH_00256,2024-03-29,SupplierA,type_b,25.28,28.46,Medium,62.57
BATCH_00257,2022-08-22,SupplierB,type_x,74.85,38.76,Medium,63.53
BATCH_00258,2023-11-15,SupplierB,type_x,69.3,30.51,Medium,78.5
BATCH_00259,2023-10-26,SupplierA,type_b,44.07,29.86,High,53.41
BATCH_00260,2024-09-01,SupplierA,type_b,67.59,28.11,High,69.73
BATCH_00261,2024-04-06,SupplierA,type_a,90.0,29.08,Medium,81.13
BATCH_00262,2023-01-09,SupplierB,type_a,28.91,31.34,High,70.17
BATCH_00263,2023-11-03,SupplierB,type_b,61.11,29.67,Medium,88.57
BATCH_00264,2023-08-31,SupplierA,type_a,200.0,27.68,High,126.94
BATCH_00265,2023-04-17,SupplierA,type_x,63.06,27.97,Medium,67.12
BATCH_00266,2022-08-21,SupplierA,type_a,34.91,39.11,Medium,66.76
BATCH_00267,2023-11-23,SupplierC,type_b,54.78,39.99,Medium,77.2
BATCH_00268,2022-04-23,SupplierD,type_c,77.4,27.65,Medium,80.6
BATCH_00269,2024-04-09,SupplierA,type_c,29.68,34.24,High,66.21
BATCH_00270,2023-05-12,SupplierB,type_b,49.4,25.86,High,57.59
BATCH_00271,2023-03-18,SupplierA,type_x,45.13,28.37,Low,62.01
BATCH_00272,2023-07-18,SupplierA,type_b,37.37,24.56,High,67.18
BATCH_00273,2022-09-25,SupplierB,type_b,54.83,35.1,High,45.52
BATCH_00274,2023-05-25,SupplierC,type_a,47.99,32.42,High,80.8
BATCH_00275,2024-03-17,SupplierD,type_b,62.87,33.38,High,65.13
BATCH_00276,2023-01-21,SupplierB,type_c,72.82,34.44,Low,88.71
BATCH_00277,2023-01-22,SupplierA,type_c,24.54,25.65,Medium,73.35
BATCH_00278,2022-04-23,SupplierB,type_c,51.35,28.38,High,69.97
BATCH_00279,2023-09-05,SupplierA,type_b,48.94,32.23,Ultra,84.69
BATCH_00280,2023-09-17,SupplierB,type_a,54.07,28.27,Low,83.65
BATCH_00281,2024-08-09,SupplierA,type_a,49.69,30.35,Medium,71.82
BATCH_00282,2022-03-22,SupplierB,type_b,30.39,26.0,High,64.9
BATCH_00283,2023-11-30,SupplierA,type_c,-10.0,36.65,High,67.97
BATCH_00284,2022-04-23,SupplierA,type_c,87.62,34.69,Medium,88.6
BATCH_00285,2022-01-02,SupplierC,type_a,60.94,36.19,Low,88.73
BATCH_00286,2023-10-04,SupplierA,type_b,61.96,33.3,High,54.7
BATCH_00287,2022-08-08,SupplierB,type_b,52.62,24.53,High,76.77
BATCH_00288,2023-07-20,SupplierA,type_b,69.38,27.6,High,76.67
BATCH_00289,2024-05-04,SupplierA,type_a,1.14,26.49,High,60.08
BATCH_00290,2024-09-23,SupplierA,type_a,49.92,28.71,Medium,82.12
BATCH_00291,2024-01-06,SupplierA,type_a,38.55,35.29,Medium,88.96
BATCH_00292,2022-08-13,SupplierB,type_a,52.92,22.64,High,66.49
BATCH_00293,2023-01-20,SupplierA,type_a,71.85,27.08,Medium,76.3
BATCH_00294,2023-02-07,SupplierD,type_a,50.38,28.03,Ultra,74.16
BATCH_00295,2023-09-30,SupplierB,type_c,42.79,23.43,Ultra,63.09
BATCH_00296,2022-05-10,SupplierA,type_b,21.93,26.27,High,76.37
BATCH_00297,2022-02-22,SupplierB,type_c,47.81,34.06,Medium,73.64
BATCH_00298,2023-11-15,SupplierB,type_a,63.45,20.48,Medium,80.25
BATCH_00299,2023-12-31,SupplierB,type_b,150.0,28.62,Medium,111.2
BATCH_00300,2023-11-03,SupplierA,type_b,9.93,32.29,Low,62.26
BATCH_00301,2023-12-11,SupplierA,type_a,95.48,30.57,Medium,80.47
BATCH_00302,2023-02-20,SupplierB,type_c,56.7,17.59,Medium,76.38
BATCH_00303,2022-09-04,SupplierC,type_a,45.57,22.82,Low,65.11
BATCH_00304,2024-04-15,SupplierB,type_x,77.82,31.92,Ultra,84.43
BATCH_00305,2023-03-15,SupplierA,type_x,52.83,31.69,Medium,85.82
BATCH_00306,2022-07-22,SupplierB,type_b,76.64,29.66,Medium,71.24
BATCH_00307,2022-07-03,SupplierB,type_b,74.93,36.65,Medium,67.15
BATCH_00308,2022-05-03,SupplierB,type_c,24.51,32.55,Low,67.85
BATCH_00309,2023-02-05,SupplierA,type_b,59.2,11.36,High,70.08
BATCH_00310,2024-02-06,SupplierB,type_c,84.51,17.7,Medium,85.67
BATCH_00311,2022-10-21,SupplierA,type_a,-10.0,38.67,Medium,60.2
BATCH_00312,2022-10-07,SupplierA,type_a,30.27,26.96,Medium,47.64
BATCH_00313,2024-04-16,SupplierB,type_b,33.66,30.12,Medium,84.42
BATCH_00314,2024-06-02,SupplierA,type_b,67.81,35.93,Medium,68.65
BATCH_00315,2023-09-02,SupplierA,type_x,55.69,19.43,Low,76.48
BATCH_00316,2022-07-17,SupplierA,type_a,11.28,28.73,Low,56.79
BATCH_00317,2024-09-08,SupplierC,type_c,56.82,35.04,Medium,71.53
BATCH_00318,2024-06-25,SupplierB,type_a,44.96,26.91,High,90.43
BATCH_00319,2023-05-26,SupplierA,type_b,47.75,34.57,Medium,77.52
BATCH_00320,2024-01-22,SupplierB,type_b,33.26,33.38,Low,79.02
BATCH_00321,2022-05-24,SupplierB,type_b,56.97,30.85,Low,78.6
BATCH_00322,2023-09-01,SupplierA,type_a,71.01,32.99,Medium,87.5
BATCH_00323,2022-07-20,SupplierB,type_b,37.16,36.47,Medium,75.32
BATCH_00324,2022-05-04,SupplierB,type_c,16.35,33.01,Low,67.45
BATCH_00325,2022-07-06,SupplierB,type_b,43.94,34.65,Medium,84.25
BATCH_00326,2022-11-22,SupplierA,type_b,65.13,25.59,Low,81.1
BATCH_00327,2023-04-09,SupplierB,type_c,41.58,32.91,Medium,95.33
BATCH_00328,2022-12-15,SupplierB,type_c,20.05,32.45,Medium,84.48
BATCH_00329,2024-02-10,SupplierA,type_b,65.26,35.62,Ultra,68.18
BATCH_00330,2023-10-22,SupplierA,type_a,78.31,24.21,Low,81.73
BATCH_00331,2024-02-03,SupplierA,type_x,50.4,35.37,Medium,79.09
BATCH_00332,2024-08-12,SupplierA,type_b,17.88,25.6,Medium,65.81
BATCH_00333,2024-07-20,SupplierB,type_a,43.64,41.7,Medium,79.96
BATCH_00334,2023-02-07,SupplierA,type_a,53.03,25.56,Medium,83.88
BATCH_00335,2022-12-12,SupplierA,type_c,33.81,24.17,Medium,56.55
BATCH_00336,2024-08-20,SupplierB,type_a,61.67,28.55,Low,91.31
BATCH_00337,2023-05-26,SupplierA,type_c,31.85,35.24,Medium,64.59
BATCH_00338,2022-05-27,SupplierD,type_a,50.51,31.78,Ultra,69.19
BATCH_00339,2022-05-28,SupplierA,type_c,45.43,38.4,Medium,67.64
BATCH_00340,2024-05-13,SupplierA,type_b,62.32,28.5,Medium,86.78
BATCH_00341,2023-12-12,SupplierA,type_b,49.71,27.55,Medium,72.24
BATCH_00342,2024-03-30,SupplierA,type_x,46.07,26.33,Medium,67.19
BATCH_00343,2023-05-04,SupplierA,type_b,33.94,27.37,Medium,65.94
